TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
12.25 	Iššūkis pergalei. (Victory Challenge). Laida apie buriavimą. (k.)  Sportas
12.50 	Brangioji aš sumažinau vaikus	Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 14 s.  Serialas
14.00 	Mentai (Menty-3). Rusija. 2000. Kriminalinė komedija. III dalis. 17 s. (k.)  Serialas
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams
14.45 	Bjaurusis ančiukas (Ugly Duckling). 1995. Animacinis filmas. 29 s.  Vaikams
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 10 s.  Vaikams
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 66 s.  Serialas
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 71 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 43 s.  Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
19.10 	Orai. 	
